x,y,u,v,S
9.686384,-18.467782,0.961037,-0.000032,4.608430
9.202065,-17.273124,0.913068,-0.000485,4.665324
9.686384,-17.898722,0.961292,-0.001019,4.723410
9.202065,-16.736033,0.913431,-0.001233,4.782611
9.686384,-17.337161,0.961722,-0.001077,4.842613
9.686384,-16.967121,0.961966,-0.000604,4.923721
9.202065,-15.857232,0.914017,-0.000384,4.985410
9.686384,-16.418805,0.962283,-0.000266,5.047872
9.202065,-15.340267,0.914363,-0.000120,5.111430
9.686384,-15.878859,0.962797,-0.000136,5.176298
9.686384,-15.523689,0.963341,-0.000689,5.264782
9.202065,-14.496776,0.915583,-0.001224,5.332230
9.686384,-14.998332,0.964108,-0.001513,5.399871
9.686384,-14.653139,0.964422,-0.001557,5.490493
9.686384,-14.312067,0.964702,-0.001901,5.582187
9.202065,-13.355933,0.916674,-0.002077,5.651835
9.686384,-13.808338,0.965067,-0.002093,5.721638
9.686384,-13.477866,0.965183,-0.001696,5.815217
9.686384,-13.151742,0.965315,-0.001717,5.909917
9.686384,-12.830024,0.965500,-0.002054,6.005885
9.202065,-11.961942,0.917396,-0.002168,6.078737
9.686384,-12.355823,0.965823,-0.002434,6.151729
9.686384,-12.045343,0.965969,-0.002656,6.249450
9.686384,-11.739440,0.966138,-0.002769,6.347952
9.686384,-11.438154,0.966363,-0.002626,6.447357
9.686384,-11.141520,0.966717,-0.002512,6.548066
9.686384,-10.849575,0.967170,-0.002651,6.649806
9.686384,-10.562347,0.967688,-0.002885,6.752249
9.859355,-10.392561,0.985572,-0.003348,6.880011
9.686384,-9.865084,0.968781,-0.003798,7.007231
9.686384,-9.594554,0.969141,-0.004213,7.108416
9.686384,-9.328835,0.969508,-0.004315,7.209291
9.686384,-9.067935,0.969917,-0.004339,7.309986
9.859355,-8.905084,0.987744,-0.004451,7.434767
9.686384,-8.436820,0.970932,-0.004529,7.558642
9.859355,-8.278067,0.988769,-0.005123,7.680609
9.686384,-7.835893,0.971906,-0.005490,7.800948
9.859355,-7.681739,0.989875,-0.005691,7.919989
9.686384,-7.265046,0.973159,-0.005296,8.037350
9.859355,-7.115919,0.991137,-0.004832,8.151510
9.859355,-6.790945,0.991915,-0.004487,8.285523
9.859355,-6.476752,0.992636,-0.004154,8.414802
9.859355,-6.173230,0.993401,-0.003738,8.539914
9.859355,-5.880256,0.994309,-0.003554,8.661482
9.859355,-5.597687,0.995361,-0.003561,8.779359
9.948178,-5.328862,1.005805,-0.003353,8.912396
9.859355,-4.977890,0.998389,-0.002397,9.039525
9.948178,-4.730718,1.009310,-0.000958,9.162458
9.948178,-4.412659,1.011916,0.001593,9.298218
9.948178,-4.111166,1.015267,0.005317,9.432013
10.002244,-3.811972,1.026207,0.011029,9.587674
9.948178,-3.490070,1.028658,0.018423,9.758704
10.002244,-3.225043,1.046407,0.030791,9.961254
10.038616,-2.911566,1.074922,0.068994,10.305213
10.002244,-2.599620,1.114968,0.165754,10.907306
10.064758,-2.309918,1.193831,0.316320,11.959866
10.038616,-1.996536,0.943686,0.081027,9.253902
10.084454,-1.696933,0.715605,-0.310019,7.626200
10.064758,-1.382200,0.492181,-0.514976,7.011852
10.084454,-1.085135,0.511821,-0.382632,6.300477
10.084454,-0.769315,0.648269,-0.255979,6.891379
10.084454,-0.453699,0.738384,-0.265393,7.772726
10.064758,-0.157500,0.784997,-0.298196,8.342217
10.084454,0.138082,0.745713,-0.297472,7.960578
10.084454,0.453699,0.738545,-0.321631,7.979867
10.084454,0.769315,0.742872,-0.331595,8.043690
10.084454,1.085141,0.786924,-0.351942,8.499146
10.064758,1.382309,1.013122,-0.296489,10.390689
10.084454,1.697441,1.045305,-0.217618,10.440882
10.038616,1.997777,0.954194,-0.170685,9.470394
10.038616,2.281354,0.969908,-0.160686,9.549957
